Date/Time,Active Energy (kcal),Source
2023-09-12 09:35:00,0.207,Lesley’s Apple Watch
2023-09-12 09:36:00,0.143,Lesley’s Apple Watch
2023-09-12 09:37:00,0.124,Lesley’s Apple Watch
2023-09-12 09:38:00,0.208,Lesley’s Apple Watch
2023-09-12 09:39:00,0.098,Lesley’s Apple Watch
2023-09-12 09:40:00,0.227,Lesley’s Apple Watch
2023-09-12 09:41:00,0.107,Lesley’s Apple Watch
2023-09-12 09:42:00,0.337,Lesley’s Apple Watch
2023-09-12 09:43:00,0.103,Lesley’s Apple Watch
2023-09-12 09:44:00,0.273,Lesley’s Apple Watch
2023-09-12 09:45:00,0.09,Lesley’s Apple Watch
2023-09-12 09:46:00,0.09,Lesley’s Apple Watch
2023-09-12 09:47:00,0.078,Lesley’s Apple Watch
2023-09-12 09:48:00,0.239,Lesley’s Apple Watch
2023-09-12 09:49:00,0.124,Lesley’s Apple Watch
2023-09-12 09:50:00,0.103,Lesley’s Apple Watch
2023-09-12 09:51:00,0.119,Lesley’s Apple Watch
2023-09-12 09:52:00,0.117,Lesley’s Apple Watch
2023-09-12 09:53:00,0.13,Lesley’s Apple Watch
2023-09-12 09:54:00,0.175,Lesley’s Apple Watch
2023-09-12 09:55:00,0.178,Lesley’s Apple Watch
2023-09-12 09:56:00,0.182,Lesley’s Apple Watch
2023-09-12 09:57:00,0.325,Lesley’s Apple Watch
2023-09-12 09:58:00,0.248,Lesley’s Apple Watch
2023-09-12 09:59:00,0.287,Lesley’s Apple Watch
2023-09-12 10:00:00,0.286,Lesley’s Apple Watch
2023-09-12 10:01:00,0.175,Lesley’s Apple Watch
2023-09-12 10:02:00,0.212,Lesley’s Apple Watch
2023-09-12 10:03:00,0.95,Lesley’s Apple Watch
2023-09-12 10:04:00,0.181,Lesley’s Apple Watch
2023-09-12 10:06:00,0.613,Lesley’s Apple Watch
2023-09-12 10:07:00,1,Lesley’s Apple Watch
2023-09-12 10:08:00,0.193,Lesley’s Apple Watch
2023-09-12 10:09:00,0.256,Lesley’s Apple Watch
2023-09-12 10:10:00,0.109,Lesley’s Apple Watch
2023-09-12 10:11:00,0.284,Lesley’s Apple Watch
2023-09-12 10:12:00,0.203,Lesley’s Apple Watch
2023-09-12 10:13:00,0.118,Lesley’s Apple Watch
2023-09-12 10:14:00,0.189,Lesley’s Apple Watch
2023-09-12 10:15:00,0.21,Lesley’s Apple Watch
2023-09-12 10:16:00,0.224,Lesley’s Apple Watch
2023-09-12 10:17:00,0.229,Lesley’s Apple Watch
2023-09-12 10:18:00,0.214,Lesley’s Apple Watch
2023-09-12 10:19:00,0.667,Lesley’s Apple Watch
2023-09-12 10:20:00,0.796,Lesley’s Apple Watch
2023-09-12 10:21:00,0.462,Lesley’s Apple Watch
2023-09-12 10:22:00,0.28,Lesley’s Apple Watch
2023-09-12 10:23:00,0.205,Lesley’s Apple Watch
2023-09-12 10:24:00,0.196,Lesley’s Apple Watch
2023-09-12 10:25:00,0.341,Lesley’s Apple Watch
2023-09-12 10:26:00,0.148,Lesley’s Apple Watch
2023-09-12 10:27:00,0.111,Lesley’s Apple Watch
2023-09-12 10:28:00,0.036,Lesley’s Apple Watch
2023-09-12 10:29:00,0.016,Lesley’s Apple Watch
2023-09-12 10:30:00,0.167,Lesley’s Apple Watch
2023-09-12 10:31:00,0.265,Lesley’s Apple Watch
2023-09-12 10:32:00,0.126,Lesley’s Apple Watch
2023-09-12 10:33:00,0.102,Lesley’s Apple Watch
2023-09-12 10:34:00,0.069,Lesley’s Apple Watch
2023-09-12 10:35:00,0.23,Lesley’s Apple Watch
2023-09-12 10:36:00,0.277,Lesley’s Apple Watch
2023-09-12 10:37:00,0.255,Lesley’s Apple Watch
2023-09-12 10:38:00,0.082,Lesley’s Apple Watch
2023-09-12 10:39:00,0.166,Lesley’s Apple Watch
2023-09-12 10:40:00,0.186,Lesley’s Apple Watch
2023-09-12 10:41:00,0.185,Lesley’s Apple Watch
2023-09-12 10:42:00,0.368,Lesley’s Apple Watch
2023-09-12 10:43:00,0.289,Lesley’s Apple Watch
2023-09-12 10:44:00,0.243,Lesley’s Apple Watch
2023-09-12 10:45:00,0.141,Lesley’s Apple Watch
2023-09-12 10:46:00,0.107,Lesley’s Apple Watch
2023-09-12 10:47:00,0.318,Lesley’s Apple Watch
2023-09-12 10:48:00,0.118,Lesley’s Apple Watch
2023-09-12 10:49:00,0.202,Lesley’s Apple Watch
2023-09-12 10:50:00,0.03,Lesley’s Apple Watch
2023-09-12 10:51:00,0.319,Lesley’s Apple Watch
2023-09-12 10:52:00,0.21,Lesley’s Apple Watch
2023-09-12 10:53:00,0.274,Lesley’s Apple Watch
2023-09-12 10:54:00,0.143,Lesley’s Apple Watch
